name,line,LAT,LONG
1 AV,L,40.7313271,-73.9824354
103 ST,1,40.7962859,-73.961648
103 ST,6,40.7902602,-73.9478665
103 ST,BC,40.7902602,-73.9478665
103 ST-CORONA,7,40.7498268,-73.862746
104 ST,A,40.6951456,-73.8443046
104 ST,JZ,40.6951456,-73.8443046
110 ST,6,40.7948233,-73.9446315
111 ST,7,40.75172999999999,-73.855334
111 ST,A,40.7516718,-73.8553273
111 ST,J,40.6973802,-73.8363213
116 ST,23,40.79863,-73.94162
116 ST,6,40.79863,-73.94162
116 ST,BC,40.80443410000001,-73.955359
116 ST-COLUMBIA,1,40.808043,-73.9639122
121 ST,JZ,40.7003193,-73.8290986
125 ST,1,40.8043863,-73.9374292
125 ST,23,40.807,-73.945
125 ST,456,40.8043863,-73.9374292
125 ST,ACBD,40.8043863,-73.9374292
135 ST,23,40.8141,-73.9409
135 ST,BC,40.817894,-73.947647
137 ST CITY COL,1,40.821374,-73.95440099999999
138/GRAND CONC,45,40.8132249,-73.9298111
14 ST,123FLM,40.7382176,-73.9999361
14 ST,ACEL,40.7313271,-73.9824354
14 ST,FLM123,40.7382176,-73.9999361
14 ST-UNION SQ,456LNQRW,40.7345371,-73.99032350000002
14 ST-UNION SQ,LNQR456W,40.7345371,-73.99032350000002
145 ST,1,40.826604,-73.95038339999999
145 ST,3,40.8204191,-73.936249
145 ST,ABCD,40.8240532,-73.9447623
149/GRAND CONC,245,40.8183248,-73.9274121
14TH STREET,1,40.7382176,-73.9999361
15 ST-PROSPECT,FG,40.6604292,-73.9797224
155 ST,BD,40.8303393,-73.9367212
155 ST,C,40.8303393,-73.9367212
157 ST,1,40.83418289999999,-73.94481549999999
161/YANKEE STAD,4BD,40.8279249,-73.92580099999999
161/YANKEE STAD,BD4,40.8279249,-73.92580099999999
163 ST-AMSTERDM,C,40.83562850000001,-73.9398925
167 ST,4,40.8357232,-73.9211957
167 ST,BD,40.8357232,-73.9211957
168 ST,1AC,40.8408407,-73.9396297
168 ST,AC1,40.8408407,-73.9396297
169 ST,F,40.7107146,-73.7930083
170 ST,4,40.8400763,-73.91790689999999
170 ST,BD,40.8400504,-73.9133477
174 ST,25,40.8374234,-73.8877791
174-175 STS,BD,40.846524,-73.9097269
175 ST,A,40.8464761,-73.9399866
176 ST,4,40.8484577,-73.9117417
18 AV,D,40.6296673,-73.9770029
18 AV,F,40.6296673,-73.9770029
18 AV,N,40.6201053,-73.9894661
18 ST,1,40.74106949999999,-73.9978777
181 ST,1,40.84913,-73.93372889999999
181 ST,A,40.84913,-73.93372889999999
182-183 STS,BD,40.8560934,-73.90102949999999
183 ST,4,40.8583762,-73.90391369999999
190 ST,A,40.8588858,-73.9342255
191 ST,1,40.8564197,-73.932621
2 AV,F,40.7234127,-73.9902885
20 AV,D,40.60463559999999,-73.9984303
20 AV,N,40.617271,-73.9847709
207 ST,1,40.8644561,-73.91885049999999
21 ST,G,40.7446224,-73.9486362
21 ST-QNSBRIDGE,F,40.75417770000001,-73.94247419999999
215 ST,1,40.8695946,-73.9153019
219 ST,25,40.883888,-73.8627468
225 ST,25,40.888092,-73.8604244
23 ST,1,40.74112969999999,-73.9890454
23 ST,6,40.7400595,-73.9864645
23 ST,CE,40.7454792,-73.9986409
23 ST,FM,40.74112969999999,-73.9890454
23 ST,NRW,40.74112969999999,-73.9890454
231 ST,1,40.879025,-73.9049309
233 ST,25,40.8932229,-73.85740910000001
238 ST,1,40.8848725,-73.9006842
25 AV,D,40.5975914,-73.9867691
25 ST,R,40.660397,-73.998093
28 ST,1,40.7470686,-73.99350919999999
28 ST,6,40.7433092,-73.98442519999999
28 ST,NRW,40.7470686,-73.99350919999999
3 AV,L,40.7331308,-73.9867663
3 AV 138 ST,6,40.810474,-73.92614000000002
3 AV-149 ST,25,40.8160451,-73.9179347
30 AV,NQW,40.7668562,-73.921323
33 ST,6,40.7461729,-73.9820093
33 ST-RAWSON ST,7,40.7445586,-73.9312333
34 ST-HERALD SQ,BDFMNQRW,40.7500869,-73.98812699999999
34 ST-HUDSON YD,7,40.7549713,-74.0010084
34 ST-PENN STA,123,40.751056,-73.9903102
34 ST-PENN STA,123ACE,40.751056,-73.9903102
34 ST-PENN STA,ACE,40.7519921,-73.993323
36 AV,NQW,40.7566195,-73.9296478
36 ST,DNR,40.6545065,-74.0042335
36 ST,MR,40.6545065,-74.0042335
39 AV,NQW,40.7526897,-73.9328056
4 AV-9 ST,DFGMNR,40.6701803,-73.98929150000001
40 ST LOWERY ST,7,40.7438729,-73.92423409999999
42 ST-BRYANT PK,BDFM7,40.7548368,-73.9841215
42 ST-PORT AUTH,ACENGRS1237W,40.7558611,-73.987061
42 ST-PORT AUTH,ACENQRS1237W,40.7558611,-73.987061
45 ST,R,40.6493612,-74.0095916
46 ST,MR,40.7567515,-73.91421179999999
46 ST BLISS ST,7,40.7430692,-73.9182376
47-50 STS ROCK,BDFM,40.75885,-73.98118610000002
49 ST,NQRW,40.7604939,-73.9837436
4AV-9 ST,DFGMNR,40.6701803,-73.98929150000001
5 AV/53 ST,EM,40.760257,-73.97547039999999
5 AV/59 ST,NQRW,40.7648676,-73.9724231
5 AVE,7BDFM,40.7648676,-73.9724231
50 ST,1,40.7614242,-73.984006
50 ST,CE,40.7623513,-73.9864953
50 ST,D,40.7623513,-73.9864953
51 ST,6,40.757135,-73.9719119
52 ST,7,40.74429019999999,-73.9121748
53 ST,R,40.6446283,-74.0145512
55 ST,D,40.6315514,-73.9956328
57 ST,F,40.76416529999999,-73.9773134
57 ST-7 AV,NQRW,40.7655439,-73.9803258
59 ST,456NQRW,40.7648676,-73.9724231
59 ST,NQR456W,40.7648676,-73.9724231
59 ST,NRW,40.762824,-73.967562
59 ST COLUMBUS,1ABCD,40.7687804,-73.9821154
59 ST COLUMBUS,ABCD1,40.7687804,-73.9821154
6 AV,FLM123,40.7382,-73.9999
61 ST WOODSIDE,7,40.7457078,-73.90290399999999
63 DR-REGO PARK,MR,40.7301359,-73.8623673
65 ST,MR,40.7491462,-73.89746869999999
66 ST-LINCOLN,1,40.7736972,-73.9822288
67 AV,MR,40.7270427,-73.8531493
68ST-HUNTER CO,6,40.7678741,-73.9638866
69 ST,7,40.74629059999999,-73.8963229
7 AV,BDE,40.7629749,-73.9819021
7 AV,BQ,40.6773274,-73.9725591
7 AV,FG,40.6668935,-73.9815816
71 ST,D,40.6196212,-73.99877699999999
72 ST,123,40.7686869,-73.9584429
72 ST,BC,40.7762249,-73.976191
72 ST-2 AVE,Q,40.7686869,-73.9584429
74 ST-BROADWAY,7EFMR,40.746739,-73.8909986
75 AV,EF,40.71833,-73.83732599999999
75 ST-ELDERTS,JZ,40.69143649999999,-73.8665512
77 ST,6,40.7736346,-73.95982939999999
77 ST,R,40.6297742,-74.0254856
79 ST,1,40.7840525,-73.9800738
79 ST,D,40.6134959,-74.0005379
8 AV,ACEL,40.6345839,-74.01080209999999
8 AV,N,40.6345839,-74.01080209999999
8 ST-NYU,NRW,40.7306065,-73.99244159999999
80 ST,A,40.6793295,-73.8590167
81 ST-MUSEUM,BC,40.7819757,-73.971999
82 ST-JACKSON H,7,40.7477145,-73.8839373
85 ST-FOREST PK,J,40.6924861,-73.8590708
86 ST,1,40.7852685,-73.9695849
86 ST,456,40.7777409,-73.9515672
86 ST,BC,40.7777409,-73.9515672
86 ST,N,40.7777409,-73.9515672
86 ST,R,40.7777409,-73.9515672
86 ST-2 AVE,Q,40.7686869,-73.9584429
88 ST,A,40.679844,-73.851471
9 AV,D,40.6463399,-73.9943655
90 ST-ELMHURST,7,40.7484367,-73.8765289
96 ST,123,40.7941912,-73.9721368
96 ST,6,40.785672,-73.95107
96 ST,BC,40.7858701,-73.95093469999999
96 ST-2 AVE,Q,40.7834854,-73.9476586
9TH STREET,1,40.7342315,-73.998802
ALABAMA AV,J,40.6768953,-73.89941189999999
ALLERTON AV,25,40.86539370000001,-73.8672655
AQUEDUCT N.COND,A,40.6692611,-73.83466609999999
AQUEDUCT RACETR,A,40.6721498,-73.8356843
ASTOR PL,6,40.7300939,-73.9908372
ASTORIA BLVD,NQW,40.7704684,-73.9175448
ASTORIA DITMARS,NQW,40.7750119,-73.91211
ATL AV-BARCLAY,2345BDNQR,40.6837,-73.9788
ATL AV-BARCLAY,BDNQR2345,40.6837,-73.9788
ATLANTIC AV,L,40.675724,-73.902969
AVENUE H,BQ,40.6297445,-73.9616617
AVENUE I,F,40.7137509,-73.9517724
AVENUE J,BQ,40.6252684,-73.9607296
AVENUE M,BQ,40.6180725,-73.9593745
AVENUE N,F,40.8588858,-73.9342255
AVENUE P,F,40.6087814,-73.9729084
AVENUE U,BQ,40.5990888,-73.9559929
AVENUE U,F,40.596062,-73.97335799999999
AVENUE U,N,40.5965048,-73.97894649999999
AVENUE X,F,40.5896822,-73.9742509
B'WAY-LAFAYETTE,BDFQ6,40.7250151,-73.9956959
BAY 50 ST,D,40.5888329,-73.9838481
BAY PKWY,D,40.601875,-73.993729
BAY PKWY,F,40.6209813,-73.9753623
BAY PKWY,N,40.61188000000001,-73.98187109999999
BAY RIDGE AV,R,40.634968,-74.023376
BAY RIDGE-95 ST,R,40.6167174,-74.0308527
BAYCHESTER AV,5,40.8790983,-73.8381028
BEACH 105 ST,AS,40.5832071,-73.8273751
BEACH 25 ST,A,40.5994598,-73.76184479999999
BEACH 36 ST,A,40.595532,-73.7681238
BEACH 44 ST,A,40.5929209,-73.77594839999999
BEACH 60 ST,A,40.59244,-73.78928300000001
BEACH 67 ST,A,40.5909714,-73.7963169
BEACH 90 ST,AS,40.5878487,-73.8140238
BEACH 98 ST,AS,40.5854889,-73.8203521
BEDFORD AV,L,40.71772,-73.95756
BEDFORD PK BLVD,4,40.8734052,-73.8902379
BEDFORD PK BLVD,BD,40.8732636,-73.8871965
BEDFORD-NOSTRAN,G,40.6898534,-73.9516398
BERGEN ST,23,40.680833,-73.97511
BERGEN ST,FG,40.6854538,-73.9913378
BEVERLEY ROAD,BQ,40.6442291,-73.96449799999999
BEVERLY RD,25,40.6450913,-73.9489985
BLEECKER ST,6DF,40.725914,-73.994659
BOROUGH HALL,2345R,40.692406,-73.99015
BOROUGH HALL,R2345,40.6931492,-73.9900883
BOTANIC GARDEN,S2345,40.8673723,-73.8814891
BOWERY,JZ,40.7201669,-73.9935279
BOWLING GREEN,45,40.7048108,-74.0144596
BRIARWOOD,EF,40.7096749,-73.81954309999999
BRIGHTON BEACH,BQ,40.5951531,-73.9550266
BROAD CHANNEL,AS,40.60799979999999,-73.8158045
BROAD ST,JZ,40.7070097,-74.0107831
BROADWAY,G,40.7055695,-73.9500836
BROADWAY,NQW,40.7306065,-73.99244159999999
BROADWAY JCT,ACJLZ,40.6792814,-73.9040773
BRONX PARK EAST,25,40.848986,-73.8683877
BROOK AV,6,40.807568,-73.919243
BROOKLYN BRIDGE,456JZ,40.7128218,-74.0042836
BUHRE AV,6,40.8469121,-73.8323569
BURKE AV,25,40.8714516,-73.8670726
BURNSIDE AV,4,40.853455,-73.90768400000002
BUSHWICK AV,L,40.6823373,-73.9051413
CANAL ST,1,40.7225785,-74.0061029
CANAL ST,ACE,40.7207905,-74.0051616
CANAL ST,JNQRZ6W,40.719528,-74.001778
CANARSIE-ROCKAW,L,40.645567,-73.90256409999999
CARROLL ST,FG,40.6793313,-73.9954833
CASTLE HILL AV,6,40.83429599999999,-73.85168399999999
CATHEDRAL PKWY,1,40.8041795,-73.9667097
CATHEDRAL PKWY,BC,40.8008803,-73.958392
CENTRAL AV,M,40.6978289,-73.9273632
CENTRAL PK N110,23,40.798,-73.953
CHAMBERS ST,123,40.7155134,-74.0092227
CHAMBERS ST,ACE23,40.7143048,-74.0084412
CHAMBERS ST,JZ456,40.7131034,-74.0040466
CHAUNCEY ST,JZ,40.682892,-73.910454
CHRISTOPHER ST,1,40.73357840000001,-74.00287279999999
CHURCH AV,25,40.6495233,-73.9632839
CHURCH AV,BQ,40.6495233,-73.9632839
CHURCH AV,FG,40.6436845,-73.9796075
CITY / BUS,1,40.7313271,-73.9824354
CITY HALL,NRW,40.7135245,-74.00671009999999
CLARK ST,23,40.7400595,-73.9864645
CLASSON AV,G,40.6888172,-73.95985739999999
CLEVELAND ST,J,40.679629,-73.885589
CLINTON-WASH AV,C,40.6880915,-73.9675499
CLINTON-WASH AV,G,40.6880915,-73.9675499
CONEY IS-STILLW,DFNQ,40.576313,-73.968498
CORTELYOU RD,BQ,40.6412697,-73.9639694
CORTLANDT ST,RNW,40.71100560000001,-74.010763
COURT SQ,7,40.7468031,-73.94528369999999
COURT SQ,EMG,40.7468031,-73.94528369999999
COURT SQ-23 ST,EMG,40.7480508,-73.94704779999999
CRESCENT ST,JZ,40.68346409999999,-73.872933
CROWN HTS-UTICA,34,40.6689469,-73.93183379999999
CYPRESS AV,6,40.8052426,-73.9137116
CYPRESS HILLS,J,40.689941,-73.87255100000002
DEKALB AV,BDNQR,40.6897553,-73.9811407
DEKALB AV,L,40.704294,-73.919277
DELANCEY/ESSEX,FJMZ,40.7185592,-73.9881894
DITMAS AV,F,40.63553599999999,-73.9781422
DYCKMAN ST,1,40.86549,-73.927269
DYCKMAN ST,A,40.86549,-73.927269
E 143/ST MARY'S,6,40.8082006,-73.9078528
E 149 ST,6,40.812119,-73.904099
E 180 ST,25,40.841892,-73.87348899999999
EAST 105 ST,L,40.651308,-73.899021
EAST BROADWAY,F,40.7144029,-73.9899161
EASTCHSTER/DYRE,5,40.8877548,-73.8312129
EASTN PKWY-MUSM,23,40.6719938,-73.9642065
ELDER AV,6,40.82858299999999,-73.87915799999999
ELMHURST AV,MR,40.7416669,-73.8812555
EUCLID AV,AC,40.6754013,-73.8719033
EXCHANGE PLACE,1,40.71676,-74.03238
FAR ROCKAWAY,A,40.6042178,-73.7549998
FLATBUSH AV-B.C,25,40.630641,-73.94535479999999
FLUSHING AV,G,40.6997972,-73.95005809999999
FLUSHING AV,JM,40.7003285,-73.9412453
FLUSHING-MAIN,7,40.7595582,-73.82992209999999
FORDHAM RD,4,40.8628946,-73.9010935
FORDHAM RD,BD,40.8613635,-73.897716
FOREST AVE,M,40.704422,-73.903076
FOREST HILLS 71,EFMR,40.721691,-73.844521
FRANKLIN AV,2345S,40.670711,-73.958545
FRANKLIN AV,ACS,40.6811075,-73.9556708
FRANKLIN ST,1,40.7190006,-74.0066793
FREEMAN ST,25,40.8301745,-73.8917088
FRESH POND RD,M,40.706231,-73.895939
FT HAMILTON PKY,D,40.64978079999999,-73.9757703
FT HAMILTON PKY,FG,40.64978079999999,-73.9757703
FT HAMILTON PKY,N,40.64978079999999,-73.9757703
FULTON ST,2345ACJZ,40.709373,-74.0083258
FULTON ST,ACJZ2345,40.7093627,-74.0084614
FULTON ST,G,40.6870915,-73.9755609
GATES AV,JZ,40.6896184,-73.9222369
GRAHAM AV,L,40.714509,-73.944426
GRAND ARMY PLAZ,23,40.675236,-73.971046
GRAND ST,BD,40.7182003,-73.9935756
GRAND ST,L,40.711977,-73.940708
GRAND-NEWTOWN,MR,40.7370102,-73.8783366
GRANT AV,A,40.6768777,-73.86534619999999
GRD CNTRL-42 ST,4567S,40.7558611,-73.987061
GREENPOINT AV,G,40.7301618,-73.9540458
GROVE STREET,1,40.7804738,-74.1880839
GUN HILL RD,25,40.8777392,-73.86630459999999
GUN HILL RD,5,40.8777392,-73.86630459999999
HALSEY ST,J,40.685682,-73.915458
HALSEY ST,L,40.696095,-73.905029
HARLEM 148 ST,3,40.8240504,-73.9369385
HARRISON,1,41.8741534,-87.6275584
HEWES ST,JM,40.7068229,-73.95342699999999
HIGH ST,AC,40.6994297,-73.9914094
HOUSTON ST,1,40.7286024,-74.0053168
HOWARD BCH JFK,A,40.6604192,-73.8302715
HOYT ST,23,40.690531,-73.985109
HOYT-SCHER,ACG,40.6888,-73.9853
HUNTERS PT AV,7,40.7424176,-73.9481564
HUNTS POINT AV,6,40.8208037,-73.89088120000001
INTERVALE AV,25,40.8222642,-73.8968106
INWOOD-207 ST,A,40.8676635,-73.9212009
JACKSON AV,25,40.746739,-73.8909986
JAMAICA 179 ST,F,40.7127866,-73.7832876
JAMAICA CENTER,EJZ,40.7021447,-73.8008771
JAMAICA VAN WK,E,40.70274089999999,-73.8172514
JAY ST-METROTEC,ACF,40.6922507,-73.9872792
JAY ST-METROTEC,R,40.69225429999999,-73.9862942
JEFFERSON ST,L,40.7070754,-73.9238689
JFK JAMAICA CT1,E,40.7005728,-73.8077071
JKSN HT-ROOSVLT,EFMR7,40.746739,-73.8909986
JOURNAL SQUARE,1,40.73265,-74.0626901
JUNCTION BLVD,7,40.749203,-73.8693365
JUNIUS ST,3,40.6634442,-73.90291169999999
KEW GARDENS,EF,40.7141955,-73.8309659
KINGS HWY,BQ,40.60867349999999,-73.9578112
KINGS HWY,F,40.60867349999999,-73.9578112
KINGS HWY,N,40.60505209999999,-73.9805643
KINGSBRIDGE RD,4,40.8677601,-73.89730279999999
KINGSBRIDGE RD,BD,40.8662419,-73.8939541
KINGSTON AV,3,40.6692845,-73.9422927
KINGSTON-THROOP,C,40.6798265,-73.9411294
KNICKERBOCKER,M,40.6987489,-73.9197228
KOSCIUSZKO ST,J,40.6932868,-73.9288263
LACKAWANNA,1,40.7349823,-74.02759209999999
LAFAYETTE AV,C,40.6863222,-73.9744759
LEXINGTON AV/53,EM6,40.7576981,-73.9690742
LEXINGTON AV/63,F,40.7641324,-73.96503419999999
LIBERTY AV,C,40.6744035,-73.8965181
LIVONIA AV,L,40.66404,-73.90057399999999
LONGWOOD AV,6,40.8163341,-73.89624309999999
LORIMER ST,JM,40.7039504,-73.94738199999999
LORIMER ST,LG,40.7139225,-73.9493905
MARBLE HILL-225,1,40.8743487,-73.91043309999999
MARCY AV,JMZ,40.7085154,-73.95785459999999
METROPOLITAN AV,GL,40.7121327,-73.889276
METROPOLITAN AV,M,40.7137509,-73.9517724
METS-WILLETS PT,7,40.7547251,-73.8456569
MIDDLETOWN RD,6,40.843915,-73.8361681
MONTROSE AV,L,40.707612,-73.939877
MORGAN AV,L,40.706279,-73.93198
MORISN AV/SNDVW,6,40.8294898,-73.8746754
MORRIS PARK,5,40.854539,-73.8602974
MOSHOLU PKWY,4,40.8797547,-73.8845616
MT EDEN AV,4,40.8445245,-73.9145989
MYRTLE AV,JMZ,40.6972672,-73.9358171
MYRTLE-WILLOUGH,G,40.69546709999999,-73.9492203
MYRTLE-WYCKOFF,LM,40.699686,-73.9117713
NASSAU AV,G,40.7238304,-73.9506401
NECK RD,BQ,40.5951531,-73.9550266
NEPTUNE AV,F,40.581131,-73.97457
NEREID AV,25,40.8984566,-73.8542993
NEVINS ST,2345,40.6882938,-73.9805205
NEW LOTS,L,40.659025,-73.899364
NEW LOTS AV,3,40.6663158,-73.8837618
NEW UTRECHT AV,ND,40.6255554,-73.99678589999999
NEWARK BM BW,1,40.7345989,-74.1639867
NEWARK C,1,40.7345989,-74.1639867
NEWARK HM HE,1,40.7345989,-74.1639867
NEWARK HW BMEBE,1,40.7345989,-74.1639867
NEWKIRK AV,25,40.639969,-73.94841
NEWKIRK PLAZA,BQ,40.6349893,-73.9627801
NORTHERN BLVD,MR,40.7531164,-73.9071111
NORWOOD 205 ST,D,40.8741411,-73.8775224
NORWOOD AV,JZ,40.6817068,-73.8791274
NOSTRAND AV,3,40.6697408,-73.9507388
NOSTRAND AV,AC,40.6804056,-73.94957219999999
OCEAN PKWY,Q,40.576313,-73.968498
OZONE PK LEFFRT,A,40.6861622,-73.82452599999999
PARK PLACE,23ACE,40.7132422,-74.0092559
PARK PLACE,S,40.674736,-73.9578518
PARKCHESTER,6,40.8332116,-73.8610088
PARKSIDE AV,BQ,40.655293,-73.96149400000002
PARSONS BLVD,F,40.707714,-73.8028238
PATH NEW WTC,1,40.7126452,-74.00989799999999
PATH WTC 2,1,40.7117347,-74.0121198
PAVONIA/NEWPORT,1,40.726699,-74.03612489999999
PELHAM BAY PARK,6,40.85293069999999,-73.8270555
PELHAM PKWY,25,40.8588602,-73.8554592
PELHAM PKWY,5,40.8570653,-73.86770589999999
PENNSYLVANIA AV,3,40.6646911,-73.8941747
PRESIDENT ST,25,40.6681585,-73.9506586
PRINCE ST,NRW,40.7242323,-73.997806
PROSPECT AV,25,40.66541369999999,-73.99292590000002
PROSPECT AV,R,40.66541369999999,-73.99292590000002
PROSPECT PARK,BQS,40.6608941,-73.9621229
QUEENS PLAZA,EMR,40.7488451,-73.9374357
QUEENSBORO PLZ,7NQW,40.750584,-73.940201
RALPH AV,C,40.6787336,-73.9215528
RECTOR ST,1,40.7078954,-74.01363649999999
RECTOR ST,NRW,40.7078954,-74.01363649999999
RIT-MANHATTAN,R,40.7830603,-73.9712488
RIT-ROOSEVELT,R,40.746739,-73.8909986
ROCKAWAY AV,3,40.6625632,-73.9089054
ROCKAWAY AV,C,40.6784919,-73.91077179999999
ROCKAWAY BLVD,A,40.6803958,-73.84383849999999
ROCKAWAY PARK B,AS,40.5805469,-73.8374249
ROOSEVELT ISLND,F,40.7591215,-73.95331879999999
SARATOGA AV,3,40.6615729,-73.9160543
SENECA AVE,M,40.7028022,-73.9077234
SHEEPSHEAD BAY,BQ,40.5867923,-73.95424229999999
SHEPHERD AV,C,40.6741306,-73.8808073
SIMPSON ST,25,40.8242542,-73.89289169999999
SMITH-9 ST,FG,40.6739071,-73.9965515
SOUTH FERRY,1RW,40.7017294,-74.0129572
SPRING ST,6,40.722301,-73.99713899999999
SPRING ST,CE,40.7257799,-74.00395209999999
ST LAWRENCE AV,6,40.8315326,-73.8672593
ST. GEORGE,1,40.84913,-73.93372889999999
STEINWAY ST,MR,40.7567049,-73.9206646
STERLING ST,25,40.6632908,-73.951044
SUTPHIN BLVD,F,40.7055477,-73.8097056
SUTPHIN-ARCHER,EJZ,40.7005728,-73.8077071
SUTTER AV,L,40.6693045,-73.9019022
SUTTER AV-RUTLD,3,40.6649921,-73.92290849999999
THIRTY ST,1,40.8564197,-73.932621
THIRTY THIRD ST,1,40.749111,-73.98824
TIMES SQ-42 ST,1237ACENQRS,40.7558611,-73.987061
TIMES SQ-42 ST,1237ACENQRSW,40.7558611,-73.987061
TIMES SQ-42 ST,ACENQRS1237W,40.7558611,-73.987061
TOMPKINSVILLE,1,40.6376266,-74.07502889999999
TREMONT AV,BD,40.85041,-73.905228
TWENTY THIRD ST,1,40.74112969999999,-73.9890454
UNION ST,R,40.6771729,-73.9832467
UTICA AV,AC,40.6793738,-73.9306335
V.CORTLANDT PK,1,40.889904,-73.8982903
VAN SICLEN AV,3,40.6654424,-73.8891273
VAN SICLEN AV,JZ,40.6780358,-73.89172470000001
VAN SICLEN AVE,C,40.67274219999999,-73.8903155
VERNON-JACKSON,7,40.7426713,-73.9537248
W 4 ST-WASH SQ,ABCDEFM,40.732299,-74.0005192
W 8 ST-AQUARIUM,FQ,40.576126,-73.975937
WAKEFIELD/241,2,40.9035209,-73.8504209
WALL ST,23,40.7063965,-74.0094441
WALL ST,45,40.7063965,-74.0094441
WEST FARMS SQ,25,40.8405859,-73.8796649
WESTCHESTER SQ,6,40.8401247,-73.8428258
WHITEHALL S-FRY,R1W,40.702161,-74.0127837
WHITLOCK AV,6,40.8267442,-73.8863456
WILSON AV,L,40.6887823,-73.9046724
WINTHROP ST,25,40.6571773,-73.9500546
WOODHAVEN BLVD,JZ,40.6939097,-73.85139269999999
WOODHAVEN BLVD,MR,40.7333477,-73.8704271
WOODLAWN,4,40.88603699999999,-73.878751
WORLD TRADE CTR,ACE23,40.7126452,-74.00989799999999
WTC-CORTLANDT,1,40.7117347,-74.0121198
YORK ST,F,40.7013482,-73.98660009999999
ZEREGA AV,6,40.8368105,-73.8466696